balanced 0 test_flag 0
[Run 1] Ep10000: 3257 steps (0.0009 hrs) 24 sec, Max 3257 steps
[Run 2] Ep10000: 1723 steps (0.0005 hrs) 15 sec, Max 3257 steps
[Run 3] Ep10000: 2357 steps (0.0007 hrs) 24 sec, Max 3257 steps
[Run 4] Ep10000: 1945 steps (0.0005 hrs) 19 sec, Max 3257 steps
[Run 5] Ep10000: 1892 steps (0.0005 hrs) 16 sec, Max 3257 steps
[Run 6] Ep10000: 1765 steps (0.0005 hrs) 14 sec, Max 3257 steps
[Run 7] Ep10000: 1989 steps (0.0006 hrs) 15 sec, Max 3257 steps
[Run 8] Ep10000: 3545 steps (0.0010 hrs) 26 sec, Max 3545 steps
[Run 9] Ep10000: 2136 steps (0.0006 hrs) 14 sec, Max 3545 steps
[Run 10] Ep10000: 3992 steps (0.0011 hrs) 28 sec, Max 3992 steps
[Run 11] Ep10000: 1508 steps (0.0004 hrs) 14 sec, Max 3992 steps
[Run 12] Ep10000: 1876 steps (0.0005 hrs) 15 sec, Max 3992 steps
[Run 13] Ep10000: 1344 steps (0.0004 hrs) 14 sec, Max 3992 steps
[Run 14] Ep10000: 1643 steps (0.0005 hrs) 15 sec, Max 3992 steps
[Run 15] Ep10000: 2026 steps (0.0006 hrs) 14 sec, Max 3992 steps
[Run 16] Ep10000: 2313 steps (0.0006 hrs) 25 sec, Max 3992 steps
[Run 17] Ep10000: 2287 steps (0.0006 hrs) 25 sec, Max 3992 steps
[Run 18] Ep10000: 3736 steps (0.0010 hrs) 26 sec, Max 3992 steps
[Run 19] Ep10000: 1863 steps (0.0005 hrs) 15 sec, Max 3992 steps
[Run 20] Ep10000: 1592 steps (0.0004 hrs) 14 sec, Max 3992 steps
[Run 21] Ep10000: 1306 steps (0.0004 hrs) 13 sec, Max 3992 steps
[Run 22] Ep10000: 7122 steps (0.0020 hrs) 37 sec, Max 7122 steps
[Run 23] Ep10000: 5712 steps (0.0016 hrs) 21 sec, Max 7122 steps
[Run 24] Ep10000: 2260 steps (0.0006 hrs) 21 sec, Max 7122 steps
[Run 25] Ep10000: 4661 steps (0.0013 hrs) 27 sec, Max 7122 steps
[Run 26] Ep10000: 2111 steps (0.0006 hrs) 25 sec, Max 7122 steps
[Run 27] Ep10000: 1942 steps (0.0005 hrs) 14 sec, Max 7122 steps
[Run 28] Ep10000: 1580 steps (0.0004 hrs) 15 sec, Max 7122 steps
[Run 29] Ep10000: 2430 steps (0.0007 hrs) 24 sec, Max 7122 steps
[Run 30] Ep10000: 1816 steps (0.0005 hrs) 16 sec, Max 7122 steps
[Run 31] Ep10000: 3817 steps (0.0011 hrs) 26 sec, Max 7122 steps
[Run 32] Ep10000: 1615 steps (0.0004 hrs) 15 sec, Max 7122 steps
[Run 33] Ep10000: 3377 steps (0.0009 hrs) 19 sec, Max 7122 steps
[Run 34] Ep10000: 3866 steps (0.0011 hrs) 26 sec, Max 7122 steps
[Run 35] Ep10000: 5203 steps (0.0014 hrs) 25 sec, Max 7122 steps
[Run 36] Ep10000: 2343 steps (0.0007 hrs) 22 sec, Max 7122 steps
[Run 37] Ep10000: 3642 steps (0.0010 hrs) 27 sec, Max 7122 steps
[Run 38] Ep10000: 2270 steps (0.0006 hrs) 23 sec, Max 7122 steps
[Run 39] Ep10000: 2551 steps (0.0007 hrs) 24 sec, Max 7122 steps
[Run 40] Ep10000: 1621 steps (0.0005 hrs) 15 sec, Max 7122 steps
[Run 41] Ep10000: 1836 steps (0.0005 hrs) 16 sec, Max 7122 steps
[Run 42] Ep10000: 2547 steps (0.0007 hrs) 15 sec, Max 7122 steps
[Run 43] Ep10000: 3175 steps (0.0009 hrs) 27 sec, Max 7122 steps
[Run 44] Ep10000: 2174 steps (0.0006 hrs) 16 sec, Max 7122 steps
[Run 45] Ep10000: 1795 steps (0.0005 hrs) 13 sec, Max 7122 steps
[Run 46] Ep10000: 1992 steps (0.0006 hrs) 15 sec, Max 7122 steps
[Run 47] Ep10000: 3577 steps (0.0010 hrs) 27 sec, Max 7122 steps
[Run 48] Ep10000: 1818 steps (0.0005 hrs) 15 sec, Max 7122 steps
[Run 49] Ep10000: 1922 steps (0.0005 hrs) 15 sec, Max 7122 steps
[Run 50] Ep10000: 1379 steps (0.0004 hrs) 14 sec, Max 7122 steps
[Run 51] Ep10000: 1528 steps (0.0004 hrs) 14 sec, Max 7122 steps
[Run 52] Ep10000: 2892 steps (0.0008 hrs) 24 sec, Max 7122 steps
[Run 53] Ep10000: 1764 steps (0.0005 hrs) 14 sec, Max 7122 steps
[Run 54] Ep10000: 1541 steps (0.0004 hrs) 15 sec, Max 7122 steps
[Run 55] Ep10000: 2046 steps (0.0006 hrs) 14 sec, Max 7122 steps
[Run 56] Ep10000: 2473 steps (0.0007 hrs) 19 sec, Max 7122 steps
[Run 57] Ep10000: 1693 steps (0.0005 hrs) 14 sec, Max 7122 steps
[Run 58] Ep10000: 1598 steps (0.0004 hrs) 16 sec, Max 7122 steps
[Run 59] Ep10000: 3421 steps (0.0010 hrs) 26 sec, Max 7122 steps
[Run 60] Ep10000: 2682 steps (0.0007 hrs) 25 sec, Max 7122 steps
[Run 61] Ep10000: 3178 steps (0.0009 hrs) 21 sec, Max 7122 steps
[Run 62] 
